"Part","Value","Device","Package","Description","ARROW_PART_NUMBER","ARROW_PRICE-STOCK","BUILT_BY","CATEGORY","COLOR","CONTACTS","COPYRIGHT","CURRENT_RATING","DATASHEET-URL","DESCRIPTION","DRAIN_CURRENT","FORWARD_CURRENT","GENDER","HEIGHT","MANUFACTURER","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MF","MFR_NAME","MOUNT_TYPE","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MPN","OC_FARNELL","OC_NEWARK","OPERATING_TEMP","OPERATION-FORCE","PART-NUMBER","PART_STATUS","POPULARITY","QTY","REFDES","REVERSE_VOLTAGE","ROHS_COMPLIANT","SERIES","SPICEPREFIX","SUB-CATEGORY","THERMALLOSS","TYPE","VALUE","VENDOR","VOLTAGE_RATING",
"C101","","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","C","","","","","","",
"C102","","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","C","","","","","","",
"C201","100n","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","C","","","","","","",
"C202","100n","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","C","","","","","","",
"C203","33n","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","C","","","","","","",
"C301","100n","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","C","","","","","","",
"C302","10u","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","C","","","","","","",
"C303","0u22","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","C","","","","","","",
"C304","0u22","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","C","","","","","","",
"C305","1u","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","C","","","","","","",
"D211","LED_BLUE","CHIP-FLAT-B_0805","LEDC2012X110N_FLAT-B","","","","","LED","BLUE","","","","","CHIP LED FLAT","","","","","","","","","","","","","","","","","","","","","","","","","","","CHIP","","FLAT_TOP","LED_BLUE","","",
"D212","LED_BLUE","CHIP-FLAT-B_0805","LEDC2012X110N_FLAT-B","","","","","LED","BLUE","","","","","CHIP LED FLAT","","","","","","","","","","","","","","","","","","","","","","","","","","","CHIP","","FLAT_TOP","LED_BLUE","","",
"D311","LED_BLUE","CHIP-FLAT-B_0805","LEDC2012X110N_FLAT-B","","","","","LED","BLUE","","","","","CHIP LED FLAT","","","","","","","","","","","","","","","","","","","","","","","","","","","CHIP","","FLAT_TOP","LED_BLUE","","",
"D312","LED_BLUE","CHIP-FLAT-B_0805","LEDC2012X110N_FLAT-B","","","","","LED","BLUE","","","","","CHIP LED FLAT","","","","","","","","","","","","","","","","","","","","","","","","","","","CHIP","","FLAT_TOP","LED_BLUE","","",
"D411","1N4148W","DIODE_1N4148W-7-F_SOD123G","SOD3715X135","Diode Rectifier - Popular parts","","","","Diode","","","","","","DIODE GEN PURP 100V 300MA SOD123 ","","","","","Diodes Incorporated","","","","","","","","","","","","","","","","","","","","","","Rectifier","","","1N4148W","","",
"D412","1N4148W","DIODE_1N4148W-7-F_SOD123G","SOD3715X135","Diode Rectifier - Popular parts","","","","Diode","","","","","","DIODE GEN PURP 100V 300MA SOD123 ","","","","","Diodes Incorporated","","","","","","","","","","","","","","","","","","","","","","Rectifier","","","1N4148W","","",
"D421","LED_BLUE","CHIP-FLAT-B_0805","LEDC2012X110N_FLAT-B","","","","","LED","BLUE","","","","","CHIP LED FLAT","","","","","","","","","","","","","","","","","","","","","","","","","","","CHIP","","FLAT_TOP","LED_BLUE","","",
"D422","LED_BLUE","CHIP-FLAT-B_0805","LEDC2012X110N_FLAT-B","","","","","LED","BLUE","","","","","CHIP LED FLAT","","","","","","","","","","","","","","","","","","","","","","","","","","","CHIP","","FLAT_TOP","LED_BLUE","","",
"IC200","FT232BL","FT232BL","LQFP32-7X7","USB to serial UART interface","","","","","","","","","","","","","","","","","","FARNELL","","","","","FT232BL/TR","unknown","38K1551","","","","","","","","","","","","","","","","","",
"IC201","UMH3N","UMH3NTNSOT-363_ROM","SOT-363_ROM","","","","","","","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","","","","","","","","","","UMH3NTN","","ROHM Semiconductor","","","","","","","","","","","","","","","","","","","","","","","",
"IC300","LD1117S33TR","LD1117_SOT223","SOT230P700X170-4","Adjustable and fixed positive voltage regulator","","","","IC_Linear","","","","","","Adjustable voltage regulator","","","","","STMicroelectronics","","","","","","","","Generic","","","","","","","","","","","","LM1117","","Voltage Regulator","","Linear","","","",
"IC301","TPS2104DBVRDBV0005A_M","TPS2104DBVRDBV0005A_M","DBV0005A_M","","","","","","","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","","","","","","","","","","TPS2104DBVR","","Texas Instruments","","","","","","","","","","","","","RefDes","","","","","","","TYPE","","","",
"J201","","SJ","SJ","SMD solder JUMPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","","","","","","","","","","","",
"K411","RZ03-1A4-D005","1-1415899-6","RELAY-SPST2_5MM","","","","EMA_UL_Team","Power Relays","","","Copyright (C) 2016 Accelerated Designs. All rights reserved","","","RZ03-1A4-D012","","","","","","","1-1415899-6","","","","","","","","","","","","active","","","","","","SCHRACK Power PCB Relay RZ","","","","","","TE Connectivity","",
"K412","RZ03-1A4-D005","1-1415899-6","RELAY-SPST2_5MM","","","","EMA_UL_Team","Power Relays","","","Copyright (C) 2016 Accelerated Designs. All rights reserved","","","RZ03-1A4-D012","","","","","","","1-1415899-6","","","","","","","","","","","","active","","","","","","SCHRACK Power PCB Relay RZ","","","","","","TE Connectivity","",
"L201","MI0805K400R-10","L-EUL2012C","L2012C","INDUCTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","L","","","","","","",
"Q411","BSS138","NMOSFETSOT23-GSD","SOT23","N-Channel MOSFET - Generic","","","","Transistor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MOSFET","","N-Channel","NMOSFET","","",
"Q412","BSS138","NMOSFETSOT23-GSD","SOT23","N-Channel MOSFET - Generic","","","","Transistor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MOSFET","","N-Channel","NMOSFET","","",
"R101","12k","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R102","12k","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
"R103","12k","R-EU_R0603","R0603","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","R","","","","","","",
